Rank,Tiktoker name,Tiktok name,followers,views(avg),likes(avg.),comments(avg.),shares(avg.),Month
750,shammiltd,Shammi,6.4M,1.9M,150K,1K,1.3K,December
751,nikicumerlato,Nicole Cumerlato,1.1M,2.5M,278.7K,341,617,December
752,cristorata7,Cristorata,1.6M,1.8M,146.6K,958,1.6K,December
753,melfouad,Melfouad,1.7M,1.3M,88.7K,1.9K,3.8K,December
754,iben_ma,Iben M.A.,10M,1.6M,114.7K,3.4K,326,December
755,paigetaylor.s,Paige Taylor,5.1M,1.8M,316.8K,810,354,December
756,mikaelatesta,Mikaela Testa,2.2M,1.5M,207.4K,1.5K,730,December
757,jorgito_guayaco_o,Jorge naranjo peÃ±afiel,4.5M,1.3M,40.8K,519,11.9K,December
758,saraecheagaray,sara,7.5M,1.9M,337.7K,698,323,December
759,danielswall,Daniel Wall,1.6M,1.3M,250.8K,769,1.2K,December
760,lagranjadelborrego,La granja del borrego,14.2M,2.1M,324.6K,718,237,December
761,fatcomedy1,FATCOMEDY,1.4M,1.9M,49.6K,515,6.4K,December
762,analisseworld,Analisseworld,10.6M,1.7M,316.7K,570,635,December
763,bp_tiktok,blackpinkofficial,37.2M,1.4M,173.3K,2K,806,December
764,jaden,Jaden,1.8M,3.5M,134.6K,1.2K,193,December
765,aylivaofficial,A Y L I V AðŸŽ™,873.2K,1.3M,212.1K,1.6K,739,December
766,doctormiguelpadilla,Doctor Miguel,6.5M,991.4K,157.4K,1.9K,2.2K,December
767,tabithaswatosh,Tabs,13.1M,2.1M,331.5K,635,293,December
768,roportajadam,Mahsun Karaca,1.3M,2.2M,107.2K,486,2.3K,December
769,jashlem,Jash,26.8M,1.8M,310.8K,729,422,December
770,firstnamechris,Chris Punsalan,1.4M,1.6M,239.9K,1.2K,461,December
771,federalplumbing,IvÃ¡ndeFederalplumbing,956.9K,2.1M,136.8K,404,1.9K,December
772,jordanavucetic,jordanavucetic,3.2M,1.5M,288.7K,1.2K,320,December
773,rayanfahmi,Rayoon,4M,2M,146.3K,1.6K,557,December
774,dovecameron,Dove Cameron,12.4M,1.5M,200.2K,1.6K,502,December
775,lordtrunks,Lord Trunks,4.9M,1.6M,195.7K,947,1.1K,December
776,edwinmendozza,ð–Šð–‰ð–œð–Žð–“,15.3M,2.7M,363.3K,405,256,December
777,jefripradewa,Jefri Pradewa,246.4K,925K,118.3K,1.6K,4.2K,December
778,mexicocookingclub,Calixto Serna,11.7M,2.3M,131.1K,407,1.7K,December
779,jzgarcia,Jz Garcia,2M,996.7K,200.8K,880,2.3K,December
780,jorgitoparrillero,Jorgito Parrillero,1.6M,1.4M,72.2K,327,5.9K,December
781,ilaydasherifi,ilaydasherifi,402.8K,1.8M,271.5K,503,801,December
782,its.michhh,Michel Chavez,33.7M,2M,275.6K,933,198,December
783,mndiaye_97,mndiaye_97,15.6M,1.3M,236.4K,1K,1.1K,December
784,leanadeeb,Leana Deeb,11.6M,1.8M,270.6K,587,724,December
785,hyoga.x,Hyoga,614.6K,1.5M,225.1K,778,1.1K,December
786,jannatmirza,J M ðŸ¥€,21.3M,1.7M,166.2K,1.8K,415,December
787,jennychallita,Jennychallita,4.6M,2.3M,131.7K,1.1K,926,December
788,caprariu_valentino,V A L E N T I N O,4M,2.3M,157.9K,1.2K,499,December
789,section_pull_up,Section Pull Up Off,1.1M,1.2M,112.1K,2.3K,2.3K,December
790,itsjojosiwa,JoJo Siwa,44.2M,2.7M,202.7K,915,207,December
791,naenano,ãªãˆãªã®ðŸŒ¨,3.7M,2M,166K,1.2K,722,December
792,gabrielabee,GABRIELA BEE,10M,1M,238.4K,2.1K,485,December
793,ayanakamura,Aya Nakamura,1.7M,1.3M,196K,1.6K,760,December
794,sallyalawady1,Sally Alawady,5.3M,2.6M,145.6K,1.1K,515,December
795,yefersoncossio,Yef,14.2M,2.8M,266.2K,554,253,December
796,teukuryantr,teukuryantr,4.4M,2.1M,277.2K,507,502,December
797,vietphuongthoa98,Viá»‡t PhÆ°Æ¡ng Thoa,12.2M,2.4M,224.3K,801,287,December
798,dangthuhaf,Äáº·ng Thu HÃ ,1.5M,3.1M,283.2K,400,267,December
799,q7cg,Ø§Ø­Ù…Ø¯ Ø§Ù„Ø­Ø±Ø¨ÙŠ,461.6K,1.4M,69.1K,3.2K,2.8K,December
800,onlyraisingkingsnyc,Onlyraisingkings,1.5M,757.8K,90.4K,1.5K,7.1K,December
801,bungalow_jonathan,Bungalow Jonathan,361.6K,880.1K,50.4K,971,12.2K,December
802,chikn.nuggit,Chikn Nuggit,4.9M,1.1M,209.4K,2K,579,December
803,yesimresmi1,~YEÅžÄ°M,17.5M,2.7M,166K,874,425,December
804,itsaburob,Ahmad Aburob,2.4M,5.8M,113.9K,709,169,December
805,lasrecetasdesimon,lasrecetasdesimon,5.5M,1.3M,130.7K,330,3.1K,December
806,_desyortega_,Ëšâ‚Šâœ©â€§â‚Š d e s â€§â‚ŠËšâœ§,31.8K,1.4M,203.6K,534,1.5K,December
807,spicyycam_,Spice King,20M,1.9M,180.7K,1.6K,104,December
808,xxlechuga,Daniel Lechuga,7.1M,1.5M,262.9K,1K,485,December
809,raonyp,Rao,282.1K,1M,172.5K,1.5K,1.9K,December
810,cooperkupp,Cooper Kupp,499.5K,1.8M,206.8K,1.3K,238,December
811,botakteras,Mike,4M,2.4M,162.8K,1.2K,269,December
812,kristy.sarah,Kristy Sarah,7.8M,2M,203.7K,528,864,December
813,calleypoche,Calle y PochÃ©,5.9M,1.5M,225.1K,977,748,December
814,ahmed_hosni1,ahmed Hosni ðŸŒâ¤ï¸,4.1M,564.4K,67.6K,2.3K,12.5K,December
815,vlad_shevchenko,Ð’Ð»Ð°Ð´ Ð¨ÐµÐ²Ñ‡ÐµÐ½ÐºÐ¾,1M,1.4M,125.7K,350,2.9K,December
816,albert_cancook,albert_cancook,10.2M,2.5M,201.9K,702,415,December
817,imprestonbradley,KING OF CREAM,3.6M,1.6M,212.6K,684,971,December
818,ireniusx,ireniusx,6.9M,1.8M,262.6K,817,371,December
819,politiqueando2.0,politiqueando2.0,43.9K,2.3M,81.1K,646,2.4K,December
820,artbydemarcusshawn,DemarcusShawn,6.4M,948.1K,158.9K,1.7K,2K,December
821,itspoli_,paulaðŸŒ¸,1.6M,1.5M,203.8K,1.6K,308,December
822,mirandaalol,miranda rae,5.7M,1.6M,230.3K,1.4K,155,December
823,sbcoko,â€œCOKOâ€,100.9K,903.3K,79.3K,486,7.3K,December
824,lisa_luchetta,Lisa Luchetta,1.4M,1.5M,231.9K,614,978,December
825,i_am_doshik1,i_am_doshik,20.9M,1.9M,205.7K,1K,438,December
826,tyshonlawrence,tyshon,18.5M,1.2M,176.8K,2.1K,528,December
827,kaykai_ntch,Kaykai,8M,2.1M,254.1K,876,155,December
828,gimmeuraddy,Septianarii,825.3K,2.3M,150.9K,247,1.3K,December
829,paupelaez_,Êœá´€É´á´‡á´ÉªÊá´€,6.8M,1.8M,236.3K,1K,263,December
830,theweeknd,The Weeknd,6M,1M,128K,1.8K,2.5K,December
831,realjayllnn,JAYLLNN,5.1M,1.6M,146.8K,1.6K,675,December
832,daniaristizabal29,Daniela Aristizabal N,55K,935.1K,62.7K,1.3K,8K,December
833,snoopdogg,Snoop Dogg,24.8M,1M,145.8K,1.7K,2K,December
834,gordeewa__13,gordeewa__13 :>,13.8M,2.3M,254.7K,751,172,December
835,michou_yt,Michou,7.8M,1.5M,210.2K,1.5K,171,December
836,bradley.thor,Thoren Bradley,7.3M,1.7M,121.5K,1.6K,922,December
837,yass_ootd,YASS_OOTD,1M,1.5M,230.1K,1.1K,495,December
838,birisdachapada_off,biris_off,2.3M,1.2M,170.3K,1.3K,1.3K,December
839,taylorfrankiepaul,Taylor Paul,3.8M,3M,146.6K,884,347,December
840,infamous_wu13,Infamous Wu,1.2M,1.7M,280K,792,321,December
841,virginiafonseca,Virginia,35.3M,2.2M,188.2K,916,356,December
842,katclark86,Kat Clark,3.4M,1.5M,253.7K,1.2K,139,December
843,brycehall,Bryce Hall,23M,2.3M,270.8K,456,406,December
844,vinhlion77777,ðŸ’ŽVinh Lion,5.8M,2.5M,107.5K,1.8K,220,December
845,mumeixxx,mumeiâœ–,2.8M,1.8M,144.2K,1.3K,720,December
846,jake_murley,Jake Murley,10.3K,832.5K,149.4K,1.1K,3.1K,December
847,riumbau,Hector Riumbau,2.8M,1M,138.6K,864,2.9K,December
848,edithxgalvez,Edith Galvez,6.2M,2.8M,171.7K,431,651,December
849,marcelldegen,Marcelldegen,4.1M,2M,151.6K,1.5K,247,December
850,decorsnippets,Rue,976.9K,1.3M,131.3K,696,2.3K,December
851,lehvideira,Lethicia Videira,8.5M,581.6K,99.5K,2.8K,6.2K,December
852,blakegray,Blake Gray,9.8M,1.2M,192.4K,1.4K,869,December
853,iitsace,PETER ACE ðŸ’œ,2.5M,1.9M,168.7K,1.2K,445,December
854,thecordlefamily,Hunter & Devin,3.7M,1.9M,255.6K,454,607,December
855,campuzanoabelardo,Abelardo Campuzano,4.8M,844K,120.7K,994,4K,December
856,sherifkhalid,sherif khalid,10.4M,1.8M,156.8K,793,1K,December
857,raulbazanm,RAULðŸ¦¦,6.1M,2.5M,217.9K,470,462,December
858,hadeel.alali,Ø§Ù… Ø³ÙŠÙ om sayf,3.3M,3.1M,106.9K,806,726,December
859,kikakiim,Kika Kim,33.3M,1.7M,187.6K,1.2K,384,December
860,soimah_pancawati,Soimah Pancawati,2.4M,1.3M,62.3K,2K,4.3K,December
861,1spdr,Ø¯Ø§Ø±Ùƒ,1.7M,1.4M,119.1K,2.6K,434,December
862,jamescharles,James Charles,37.6M,1.9M,178.4K,1.2K,290,December
863,thatgoldendog,Candice & Bear,189.3K,981K,139.1K,187,3.5K,December
864,anaalvarez,Ana Alvarez,266.5K,1.7M,155.7K,461,1.4K,December
865,homm9k,Ð¥ÐžÐœÐ¯Ðš,46.4M,1.7M,165.8K,1.2K,557,December
866,omar,Omar Raja,3.9M,2M,252.2K,439,562,December
867,stephano_kohel,âš¡ï¸STEPHANOâš¡ï¸,6M,3.3M,267.3K,324,246,December
868,zamirrvillamil,zamu,2.6M,1.3M,273K,648,768,December
869,renpc_,âœ¨Ren PCâœ¨,5.2M,882.4K,164.8K,656,2.8K,December
870,jolly_good_ginger,El Chismoso,3.2M,992.3K,115.2K,3.1K,1.3K,December
871,andreecuadros,Andrea Cuadros,15.6M,2.1M,259.7K,586,330,December
872,chico_maltipoo,Chico Maltipoo,335.7K,912K,116.2K,1.6K,3.1K,December
873,ddhivaaaa,Adhiva Amalia,2.4M,2.2M,145.4K,623,930,December
874,noeldeyzel_bodybuilder,Noel DeyzelðŸ‡¿ðŸ‡¦,5.9M,1.4M,229.1K,923,622,December
875,claragnds,Maria Clara Garcia,19.7M,1.6M,171.7K,1.2K,578,December
876,thekatehudson,Kate Hudson,1.3M,2M,178.9K,1.1K,246,December
877,_raichouuofficial,SHRX â€¢ Raichouu ðŸ‡µðŸ‡­,1.4M,2.2M,145.2K,1.3K,282,December
878,thetiktokdrummer,Austin Ware,11.1M,4.1M,107.4K,793,326,December
879,nadina_ioana,Nadina Ioana,12.9M,3M,210.9K,473,318,December
880,...anddy_,ANDDY ðŸºðŸŒ™,1.3M,827.9K,123.7K,3.5K,1.3K,December
881,fabstarden,FabrÃ­cio :),66K,692.8K,111.3K,2.9K,3.5K,December
882,ogabrielfalcone,NIKITA,3.5M,1.1M,252.8K,1K,728,December
883,_catben_,Catherine Benson,11M,1.4M,212.1K,784,864,December
884,camilacabello,Camila Cabello,17.2M,1.3M,182.5K,1.2K,905,December
885,wisdm8,Wisdom Kaye,8.7M,1.4M,199.7K,1.3K,415,December
886,eyeout4selen3r,Shawn Mac,1.2M,736.2K,185.5K,1K,2.5K,December
887,choukripirate,CHOUKRI PIRATE ðŸ´â€â˜ ï¸,1.6M,2.3M,186.3K,630,507,December
888,captincroook,Alex Consani,792.5K,1.1M,257.4K,1.2K,516,December
889,delaneysayshello,Delaney Rowe,1.1M,1.4M,178.5K,824,1.2K,December
890,anxietycouple,Anxiety couple,12.7M,2.1M,203.7K,665,494,December
891,avani,avani,42.8M,2.1M,209.8K,797,322,December
892,ugolord,âš–ï¸ The TikTok Attorney âš–ï¸,6.4M,1.7M,142.7K,1.8K,223,December
893,thedarcymichael,Darcy & Jer,3.1M,1.1M,130.7K,1.5K,1.8K,December
894,msquynhthie,Quá»³nh Thi,1.3M,3.7M,154.2K,592,249,December
895,armando_netto,Armando Netto,5.1M,1.6M,249.6K,969,231,December
896,juliapuzzuoli,Julia Puzzuoli Souza,13.5M,2M,259.1K,367,581,December
897,zzri9a,ZZRi9A,1M,1.7M,106.6K,1.4K,1.2K,December
898,erabii,Mohanaderabi,2M,1.3M,155.1K,1.4K,1K,December
899,rifirdus,RIFIRDUS,2.4M,1.9M,148.6K,837,899,December
900,mult..fand0m,Antonella ðŸ‘,154K,543.8K,103.8K,7.1K,1.3K,December
901,lilhuhofficial,ðŸ”¥ Lil Huh ðŸ”¥,4.5M,2.3M,201.1K,565,452,December
902,nancyajram,Nancy Ajram,2.3M,1.9M,129.2K,1.1K,769,December
903,angelramirezv,Angel Ramirez,1.2M,1.7M,150.1K,1.1K,760,December
904,una_arana,Una AraÃ±a,77K,2.4M,262.3K,527,217,December
905,korean.comic,ì†¡ì€ì œ ðŸ‡°ðŸ‡·,1.4M,972.1K,198.5K,999,1.4K,December
906,ladyyasmina1,Yasmine Sahid,1.6M,1.1M,161.2K,1.1K,1.5K,December
907,nicktrawick13,Nick Trawick,1.2M,756.4K,117.2K,1.7K,3.5K,December
908,la.marymary,marymaryðŸ‘‘,561.3K,1.1M,142.6K,886,2K,December
909,oafonsopadilha,Afonso Padilha,3.2M,923.1K,119.9K,638,3.5K,December
910,maurobarrionuevo,Mauro Barrionuevo,2.5M,849.5K,58.7K,278,9K,December
911,samsmith,Sam Smith,7.1M,1.9M,77.7K,1.4K,1.7K,December
912,mohamedmekawy,Mohamedmekawy,1.4M,2.7M,41.7K,953,3.1K,December
913,cirowhites1.0,CiroWhites,2.5M,1.2M,242.6K,529,1.1K,December
914,notbehzinga,Ethan Payne,1.8M,2.2M,331.4K,468,164,December
915,sjbleau,SJ,13.9M,2.2M,195.3K,664,408,December
916,issavegas.fit,Issavegas.fit,6M,2M,148.8K,483,1.1K,December
917,moontellthat,MOONTELLTHAT,14.3M,1.8M,132.1K,1.2K,717,December
918,joerauth_,Joe rauth,6.2M,1.4M,217.1K,610,947,December
919,mrstiventc1977,MrStivenTc,6.8M,1.9M,218K,850,279,December
920,ytietofficial,Ytiet Official,3.7M,1M,54.3K,1.2K,7.1K,December
921,deni.elenaa,Deni Elena,327.9K,842.8K,147.2K,736,2.9K,December
922,mimiermakeup,Mirta Miler,16.6M,1.9M,273.3K,731,166,December
923,nicolassturniolo,Nicolas Sturniolo,4.1M,938.3K,202K,1.9K,467,December
924,julesleblanc,jules,18.9M,1.5M,214.9K,1.1K,259,December
925,baldybrobryzxz,celloszxzðŸ§‘ðŸ»â€ðŸ¦²,11M,2.6M,199.1K,646,221,December
926,artemmodelka,artemmodelka,1M,2.5M,129.6K,1K,370,December
927,deiveleonardooficial,Deive Leonardo,6.3M,534.7K,77.6K,976,9.8K,December
928,azelmusic,Azel,1.3M,1.3M,129.1K,833,1.9K,December
929,1h__aa,Ø¹Ù„ÙŠ ØºØ§Ù†Ù…,196.6K,2M,75.4K,1.9K,1.1K,December
930,christian_shay,Christian Shay,3.1M,1.4M,188.6K,1.4K,268,December
931,shani_ameliaa,Shani_amelia,2.9M,983.9K,160.1K,1.4K,1.4K,December
932,tanboykun_asli,Tanboy Kun,2.6M,2.3M,154.4K,511,713,December
933,krysandkareem,Krys & Kareem,6.3M,1.9M,114.8K,362,1.7K,December
934,alejandrosago,Alejandro Sago,2.5M,1.6M,191.9K,409,1K,December
935,creatingwonders,Jesse J. Pedigo,12.2M,554.8K,86.7K,1.2K,7.9K,December
936,f0urbr0thers,F0urBr0thers,1.6M,1.5M,157.2K,411,1.5K,December
937,eldavidgodoy,David Godoy,2.9M,1.7M,175.8K,449,1K,December
938,alfyfatmasaga,Alfy Saga,4.3M,1.7M,105.5K,804,1.6K,December
939,nabela,nabela,7.6M,2.1M,251.5K,502,330,December
940,realaa9skillz,aa9skillz,295.7K,930.5K,135K,2.1K,1.4K,December
941,valennaihomi,naihomi,401.7K,2.7M,140.3K,955,219,December
942,rowverytrinidad29,Rowvery Trinidad,3.4M,2.7M,325.6K,295,204,December
943,frnzlynfby,Feby,4.4M,1.2M,222.5K,887,825,December
944,lexihensler,Lexi Hensler,9.6M,1.7M,230.6K,399,717,December
945,colinjay_,colin eckardt,1.6M,952.8K,182.9K,1.5K,1K,December
946,eravfx,ERAVFX,1.8M,2.4M,181.2K,805,199,December
947,jailyneojeda,Jailyne Ojeda,17.3M,1.7M,227.7K,740,387,December
948,ashraf_alalmei,"ðŸ‡ªðŸ‡¬âš¡""ALALMEI""âš¡ðŸ‡µðŸ‡¸",3.5M,1.9M,136.5K,528,1.2K,December
949,youngji_02,ì´ì˜ì§€,2.2M,1.4M,293.3K,820,240,December
950,joelbergs,JoelBergs,11.6M,1.7M,242.6K,499,554,December
951,axxdermusic,Axder,5.3M,531.9K,68.5K,1.8K,10.1K,December
952,chevy2funnyy,Chevy2funnyy,2.1M,917.7K,181K,796,1.8K,December
953,nilewilsonator,Wilsonator,1.2M,2.4M,194.1K,448,464,December
954,farrukoofficialpr,FARRU,3.7M,1.4M,96.8K,346,2.8K,December
955,keirariff,Keira,5.6M,1.4M,250.3K,502,764,December
956,jimmywells96,Jimmy Wells,2.2M,1.1M,133.8K,832,2.1K,December
957,knzymyln__,Kienzyí‚¤ì—”ì§€ë¯¸ì—”âœ§ðŸ‡°ðŸ‡·,8.4M,2.8M,110.9K,488,885,December
958,flickerspark_,FlickerSpark,1.8M,1.1M,245.1K,830,750,December
959,healthy_mandy,healthy_mandy,587.8K,2.2M,150.2K,861,424,December
960,robertfrank615,Robert Frank,1.2M,778.4K,78.7K,440,6.5K,December
961,maxthemeatguy,Max The Meat Guy,5.3M,1.2M,178.7K,504,1.5K,December
962,ailaloures,aila loures,3.9M,845.5K,165.1K,1.4K,1.6K,December
963,ogikdp,Zona Ogik | YT MELLO PROJECT,5M,1.6M,227.7K,755,400,December
964,leahh,leah,6.3M,1.7M,167.6K,785,737,December
965,karlwolfs,Karl Wolf,414.8K,953.6K,75.4K,2.5K,3.3K,December
966,natalieamayaa,Natalie Amaya,96.7K,1M,116.2K,837,2.8K,December
967,banhbaoxinchao,BÃ¡nh Bao Xin ChÃ o,2.6M,2.6M,183.6K,623,256,December
968,pocaeve,EVE,138.7K,2.6M,50.9K,1.8K,1.3K,December
969,thruhikers,Renee-and-Tim,2.1M,2.3M,250.5K,289,452,December
970,thenursery_nurse,Charlotte,1.8M,1.5M,288.7K,768,195,December
971,i_am_young22,ëƒ¥ë‡½ë…•ëƒ¥ðŸ‘»,3.1M,1.1M,147.2K,739,1.8K,December
972,itsmenicksmithy2,Nick Smithyman ðŸ˜Ž,13.6M,1.5M,179.1K,757,789,December
973,slamminsammyswank,Sam Swank,1.6M,834.2K,165.2K,482,2.5K,December
974,mistermainer,mistermainer,16.4M,1.2M,157.6K,1K,1.1K,December
975,nelysa_norazlan,Nelysa Norazlan,3M,1.5M,144.4K,760,1.2K,December
976,hunterprosper,Hunter Prosper,5.5M,1.6M,172.6K,437,1.1K,December
977,mohaimen.alaa,Ù…Ù‡ÙŠÙ…Ù† Ø¹Ù„Ø§Ø¡,4.7M,1.4M,143.8K,1.3K,801,December
978,mei_asami_,æµ…è¦‹ã‚ã„,1.5M,1.3M,176.8K,1.1K,768,December
979,rreygrande,rey,617.8K,700.2K,147.7K,1.9K,2.1K,December
980,pratiii9,pratii,505.5K,6.4M,39.3K,538,1.1K,December
981,leesiyoung38,ì´ì‹œì˜,17.6M,2M,143.3K,952,472,December
982,jmartineze_,josi,23.7M,1.8M,235K,651,314,December
983,los_escachaitos,Los escachaitos,5.3M,2.3M,120.9K,692,772,December
984,pedrinhuol,pedrinhuol,6.3M,1.9M,178.2K,448,750,December
985,nouraridaofficial,Nour Arida,3.3M,1.9M,108.2K,733,1.2K,December
986,karolsevillaokay,karolsevillaofc,26.2M,1.5M,223.2K,913,298,December
987,coldcutz20,CHRIS COLDITZ,1.4M,4.4M,100.3K,494,424,December
988,mclya_,Lya,3.9M,2.2M,175.5K,713,336,December
989,ddlovato,Demi Lovato,4.5M,1.4M,130.8K,1.7K,573,December
990,jlo,JLO,15.4M,1.5M,118.9K,1.8K,417,December
991,esta.pramanita,Esta Pramanita,2.4M,2.3M,222.7K,390,392,December
992,ladydianka,LADY BUNNYðŸ°,9.2M,1.2M,144.7K,1.3K,899,December
993,ediqueixinho,Edivando Junior,4.3M,1.7M,185.2K,754,488,December
994,liamcarps,Liam Carpenter,1.5M,1.5M,136.6K,697,1.3K,December
995,giovannibonaccinii_,G I O V A N N IðŸ¦‹,1M,1M,171.6K,983,1.3K,December
996,jiembasands,Jiemba Sands,4.9M,3.4M,247.4K,207,264,December
997,crissa_ace,Crissa Jackson,14.9M,1.6M,141.7K,1.2K,580,December
998,ichadude,Alyssa & Dude,468.8K,2.3M,85.5K,997,1K,December
999,kanebrown,Kane Brown,5.2M,1.7M,96.7K,1.3K,1.2K,December
1000,nnennab_,Nnenna B | NYC Creator & Actor,149.1K,606.2K,79.5K,2.1K,6.1K,December
